step	sub	o2	
0	1.000000e-04	1.000000e-04	
1000	7.650633e-05	9.597296e-05	
2000	5.714058e-05	9.402303e-05	
3000	5.419293e-05	9.401402e-05	
4000	5.323815e-05	9.399729e-05	
5000	5.274376e-05	9.396332e-05	
6000	5.243718e-05	9.392273e-05	
step	sub	o2	
0	1.000000e-04	1.000000e-04	
1000	7.650633e-05	9.597296e-05	
step	sub	o2	
0	1.000000e-04	1.000000e-04	
1000	9.889898e-05	9.993238e-05	
2000	9.889936e-05	9.993238e-05	
3000	9.889974e-05	9.993238e-05	
4000	9.890012e-05	9.993238e-05	
5000	9.890050e-05	9.993238e-05	
6000	9.890088e-05	9.993239e-05	
7000	9.890126e-05	9.993239e-05	
8000	9.890164e-05	9.993239e-05	
9000	9.890202e-05	9.993239e-05	
10000	9.890240e-05	9.993240e-05	
11000	9.890278e-05	9.993240e-05	
12000	9.890316e-05	9.993240e-05	
13000	9.890354e-05	9.993240e-05	
14000	9.890391e-05	9.993241e-05	
15000	9.890429e-05	9.993241e-05	
16000	9.890467e-05	9.993241e-05	
17000	9.890505e-05	9.993242e-05	
18000	9.890543e-05	9.993242e-05	
19000	9.890581e-05	9.993242e-05	
20000	9.890619e-05	9.993242e-05	
21000	9.890657e-05	9.993243e-05	
22000	9.890695e-05	9.993243e-05	
23000	9.890733e-05	9.993243e-05	
24000	9.890771e-05	9.993244e-05	
25000	9.890809e-05	9.993244e-05	
26000	9.890847e-05	9.993245e-05	
27000	9.890885e-05	9.993245e-05	
28000	9.890923e-05	9.993245e-05	
29000	9.890961e-05	9.993246e-05	
30000	9.890999e-05	9.993246e-05	
31000	9.891037e-05	9.993247e-05	
32000	9.891075e-05	9.993247e-05	
33000	9.891113e-05	9.993247e-05	
34000	9.891151e-05	9.993248e-05	
35000	9.891189e-05	9.993248e-05	
36000	9.891227e-05	9.993249e-05	
37000	9.891265e-05	9.993249e-05	
38000	9.891303e-05	9.993250e-05	
39000	9.891341e-05	9.993250e-05	
40000	9.891379e-05	9.993251e-05	
41000	9.891417e-05	9.993251e-05	
42000	9.891455e-05	9.993252e-05	
43000	9.891493e-05	9.993252e-05	
44000	9.891531e-05	9.993253e-05	
45000	9.891569e-05	9.993253e-05	
46000	9.891607e-05	9.993254e-05	
47000	9.891645e-05	9.993254e-05	
48000	9.891683e-05	9.993255e-05	
49000	9.891721e-05	9.993255e-05	
50000	9.891759e-05	9.993256e-05	
51000	9.891797e-05	9.993256e-05	
52000	9.891835e-05	9.993257e-05	
53000	9.891873e-05	9.993258e-05	
54000	9.891911e-05	9.993258e-05	
55000	9.891949e-05	9.993259e-05	
56000	9.891987e-05	9.993259e-05	
57000	9.892025e-05	9.993260e-05	
58000	9.892063e-05	9.993261e-05	
59000	9.892101e-05	9.993261e-05	
60000	9.892139e-05	9.993262e-05	
61000	9.892177e-05	9.993262e-05	
62000	9.892215e-05	9.993263e-05	
63000	9.892253e-05	9.993264e-05	
64000	9.892291e-05	9.993264e-05	
65000	9.892329e-05	9.993265e-05	
66000	9.892367e-05	9.993266e-05	
67000	9.892405e-05	9.993267e-05	
68000	9.892443e-05	9.993267e-05	
69000	9.892481e-05	9.993268e-05	
70000	9.892519e-05	9.993269e-05	
71000	9.892557e-05	9.993269e-05	
72000	9.892595e-05	9.993270e-05	
73000	9.892633e-05	9.993271e-05	
74000	9.892671e-05	9.993272e-05	
75000	9.892709e-05	9.993272e-05	
76000	9.892747e-05	9.993273e-05	
77000	9.892785e-05	9.993274e-05	
78000	9.892823e-05	9.993275e-05	
79000	9.892861e-05	9.993276e-05	
80000	9.892899e-05	9.993276e-05	
step	sub	o2	
0	1.000000e-04	1.000000e-04	
1000	9.080580e-05	9.915758e-05	
2000	9.080390e-05	9.906028e-05	
3000	8.425350e-05	9.808198e-05	
4000	7.717775e-05	9.703897e-05	
5000	7.365852e-05	9.663797e-05	
6000	7.201926e-05	9.637983e-05	
step	sub	o2	
0	1.000000e-04	1.000000e-04	
1000	7.649413e-05	9.597033e-05	
step	mut_s	mut_i	
0	1.000000e-04	1.000000e-04	
1000	1.000000e-04	1.000000e-04	
2000	1.000000e-04	1.000000e-04	
3000	1.000000e-04	1.000000e-04	
4000	1.000000e-04	1.000000e-04	
5000	1.000000e-04	1.000000e-04	
6000	1.000000e-04	1.000000e-04	
7000	1.000000e-04	1.000000e-04	
8000	1.000000e-04	1.000000e-04	
9000	1.000000e-04	1.000000e-04	
10000	1.000000e-04	1.000000e-04	
11000	1.000000e-04	1.000000e-04	
12000	1.000000e-04	1.000000e-04	
13000	1.000000e-04	1.000000e-04	
14000	1.000000e-04	1.000000e-04	
15000	1.000000e-04	1.000000e-04	
16000	1.000000e-04	1.000000e-04	
17000	1.000000e-04	1.000000e-04	
18000	1.000000e-04	1.000000e-04	
19000	1.000000e-04	1.000000e-04	
20000	1.000000e-04	1.000000e-04	
21000	1.000000e-04	1.000000e-04	
22000	1.000000e-04	1.000000e-04	
23000	1.000000e-04	1.000000e-04	
24000	1.000000e-04	1.000000e-04	
25000	1.000000e-04	1.000000e-04	
26000	1.000000e-04	1.000000e-04	
27000	1.000000e-04	1.000000e-04	
28000	1.000000e-04	1.000000e-04	
29000	1.000000e-04	1.000000e-04	
30000	1.000000e-04	1.000000e-04	
31000	1.000000e-04	1.000000e-04	
32000	1.000000e-04	1.000000e-04	
33000	1.000000e-04	1.000000e-04	
34000	1.000000e-04	1.000000e-04	
35000	1.000000e-04	1.000000e-04	
step	mut_s	mut_i	
0	1.000000e-04	1.000000e-04	
1000	1.000000e-04	1.000000e-04	
2000	1.000000e-04	1.000000e-04	
3000	1.000000e-04	1.000000e-04	
4000	1.000000e-04	1.000000e-04	
5000	1.000000e-04	1.000000e-04	
6000	1.000000e-04	1.000000e-04	
7000	1.000000e-04	1.000000e-04	
8000	1.000000e-04	1.000000e-04	
9000	1.000000e-04	1.000000e-04	
10000	1.000000e-04	1.000000e-04	
11000	1.000000e-04	1.000000e-04	
12000	1.000000e-04	1.000000e-04	
13000	1.000000e-04	1.000000e-04	
14000	1.000000e-04	1.000000e-04	
15000	1.000000e-04	1.000000e-04	
16000	1.000000e-04	1.000000e-04	
17000	1.000000e-04	1.000000e-04	
18000	1.000000e-04	1.000000e-04	
19000	1.000000e-04	1.000000e-04	
20000	1.000000e-04	1.000000e-04	
21000	1.000000e-04	1.000000e-04	
22000	1.000000e-04	1.000000e-04	
23000	1.000000e-04	1.000000e-04	
24000	1.000000e-04	1.000000e-04	
25000	1.000000e-04	1.000000e-04	
26000	1.000000e-04	1.000000e-04	
27000	1.000000e-04	1.000000e-04	
28000	1.000000e-04	1.000000e-04	
29000	1.000000e-04	1.000000e-04	
30000	1.000000e-04	1.000000e-04	
31000	1.000000e-04	1.000000e-04	
32000	1.000000e-04	1.000000e-04	
33000	1.000000e-04	1.000000e-04	
34000	1.000000e-04	1.000000e-04	
35000	1.000000e-04	1.000000e-04	
36000	1.000000e-04	1.000000e-04	
37000	1.000000e-04	1.000000e-04	
38000	1.000000e-04	1.000000e-04	
39000	1.000000e-04	1.000000e-04	
40000	1.000000e-04	1.000000e-04	
41000	1.000000e-04	1.000000e-04	
42000	1.000000e-04	1.000000e-04	
43000	1.000000e-04	1.000000e-04	
44000	1.000000e-04	1.000000e-04	
45000	1.000000e-04	1.000000e-04	
46000	1.000000e-04	1.000000e-04	
47000	1.000000e-04	1.000000e-04	
48000	1.000000e-04	1.000000e-04	
49000	1.000000e-04	1.000000e-04	
50000	1.000000e-04	1.000000e-04	
51000	1.000000e-04	1.000000e-04	
52000	1.000000e-04	1.000000e-04	
53000	1.000000e-04	1.000000e-04	
54000	1.000000e-04	1.000000e-04	
55000	1.000000e-04	1.000000e-04	
56000	1.000000e-04	1.000000e-04	
57000	1.000000e-04	1.000000e-04	
58000	1.000000e-04	1.000000e-04	
59000	1.000000e-04	1.000000e-04	
60000	1.000000e-04	1.000000e-04	
61000	1.000000e-04	1.000000e-04	
62000	1.000000e-04	1.000000e-04	
63000	1.000000e-04	1.000000e-04	
64000	1.000000e-04	1.000000e-04	
65000	1.000000e-04	1.000000e-04	
66000	1.000000e-04	1.000000e-04	
67000	1.000000e-04	1.000000e-04	
68000	1.000000e-04	1.000000e-04	
69000	1.000000e-04	1.000000e-04	
70000	1.000000e-04	1.000000e-04	
71000	1.000000e-04	1.000000e-04	
72000	1.000000e-04	1.000000e-04	
step	mut_s	mut_i	
0	1.000000e-04	1.000000e-04	
1000	1.000000e-04	1.000000e-04	
2000	1.000000e-04	1.000000e-04	
3000	1.000000e-04	1.000000e-04	
4000	1.000000e-04	1.000000e-04	
5000	1.000000e-04	1.000000e-04	
6000	1.000000e-04	1.000000e-04	
7000	1.000000e-04	1.000000e-04	
8000	1.000000e-04	1.000000e-04	
9000	1.000000e-04	1.000000e-04	
10000	1.000000e-04	1.000000e-04	
11000	1.000000e-04	1.000000e-04	
12000	1.000000e-04	1.000000e-04	
13000	1.000000e-04	1.000000e-04	
14000	1.000000e-04	1.000000e-04	
15000	1.000000e-04	1.000000e-04	
16000	1.000000e-04	1.000000e-04	
17000	1.000000e-04	1.000000e-04	
18000	1.000000e-04	1.000000e-04	
19000	1.000000e-04	1.000000e-04	
20000	1.000000e-04	1.000000e-04	
21000	1.000000e-04	1.000000e-04	
22000	1.000000e-04	1.000000e-04	
23000	1.000000e-04	1.000000e-04	
24000	1.000000e-04	1.000000e-04	
25000	1.000000e-04	1.000000e-04	
26000	1.000000e-04	1.000000e-04	
27000	1.000000e-04	1.000000e-04	
28000	1.000000e-04	1.000000e-04	
29000	1.000000e-04	1.000000e-04	
30000	1.000000e-04	1.000000e-04	
31000	1.000000e-04	1.000000e-04	
32000	1.000000e-04	1.000000e-04	
33000	1.000000e-04	1.000000e-04	
34000	1.000000e-04	1.000000e-04	
step	mut_s	mut_i	
0	1.000000e-04	1.000000e-04	
1000	1.000000e-04	1.000000e-04	
2000	1.000000e-04	1.000000e-04	
3000	1.000000e-04	1.000000e-04	
4000	1.000000e-04	1.000000e-04	
5000	1.000000e-04	1.000000e-04	
6000	1.000000e-04	1.000000e-04	
7000	1.000000e-04	1.000000e-04	
8000	1.000000e-04	1.000000e-04	
9000	1.000000e-04	1.000000e-04	
10000	1.000000e-04	1.000000e-04	
11000	1.000000e-04	1.000000e-04	
12000	1.000000e-04	1.000000e-04	
13000	1.000000e-04	1.000000e-04	
14000	1.000000e-04	1.000000e-04	
15000	1.000000e-04	1.000000e-04	
16000	1.000000e-04	1.000000e-04	
17000	1.000000e-04	1.000000e-04	
18000	1.000000e-04	1.000000e-04	
19000	1.000000e-04	1.000000e-04	
20000	1.000000e-04	1.000000e-04	
21000	1.000000e-04	1.000000e-04	
22000	1.000000e-04	1.000000e-04	
23000	1.000000e-04	1.000000e-04	
24000	1.000000e-04	1.000000e-04	
25000	1.000000e-04	1.000000e-04	
26000	1.000000e-04	1.000000e-04	
27000	1.000000e-04	1.000000e-04	
28000	1.000000e-04	1.000000e-04	
29000	1.000000e-04	1.000000e-04	
30000	1.000000e-04	1.000000e-04	
31000	1.000000e-04	1.000000e-04	
32000	1.000000e-04	1.000000e-04	
33000	1.000000e-04	1.000000e-04	
34000	1.000000e-04	1.000000e-04	
35000	1.000000e-04	1.000000e-04	
36000	1.000000e-04	1.000000e-04	
37000	1.000000e-04	1.000000e-04	
38000	1.000000e-04	1.000000e-04	
step	mut_s	mut_i	
0	1.000000e-04	1.000000e-04	
1000	9.809471e-05	1.000000e-04	
2000	9.809410e-05	1.000000e-04	
3000	9.809350e-05	1.000000e-04	
4000	9.809289e-05	1.000000e-04	
5000	9.809228e-05	1.000000e-04	
6000	9.809168e-05	1.000000e-04	
7000	9.809107e-05	1.000000e-04	
step	mut_s	mut_i	
0	1.000000e-04	1.000000e-04	
1000	9.809471e-05	1.000000e-04	
2000	9.809410e-05	1.000000e-04	
3000	9.809350e-05	1.000000e-04	
4000	9.809289e-05	1.000000e-04	
5000	9.809228e-05	1.000000e-04	
6000	9.809168e-05	1.000000e-04	
7000	9.809107e-05	1.000000e-04	
8000	9.771296e-05	1.000000e-04	
9000	9.771241e-05	1.000000e-04	
10000	9.771186e-05	1.000000e-04	
11000	9.769313e-05	1.000000e-04	
12000	9.769258e-05	1.000000e-04	
13000	9.756068e-05	1.000000e-04	
14000	9.743914e-05	1.000000e-04	
15000	9.743866e-05	1.000000e-04	
16000	9.743818e-05	1.000000e-04	
17000	9.735570e-05	1.000000e-04	
18000	9.731503e-05	1.000000e-04	
19000	9.730359e-05	1.000000e-04	
20000	9.724150e-05	1.000000e-04	
21000	9.717540e-05	1.000000e-04	
22000	9.711367e-05	1.000000e-04	
23000	9.706631e-05	1.000000e-04	
24000	9.699901e-05	1.000000e-04	
25000	9.694604e-05	1.000000e-04	
26000	9.688232e-05	1.000000e-04	
27000	9.683985e-05	1.000000e-04	
28000	9.681899e-05	1.000000e-04	
